dataset,seed,model,rmse,mae,r2,fit_time,truth_triplet,found_truth_triplet,n_terms
Friedman1_Mod,0,Scratch3Way,1.4162668470695057,0.9048143959207968,0.9826969026675666,46.5962769985199,"(0, 1, 2)",1.0,16.0
Friedman1_Mod,0,Scratch3Way_BIC0.5,1.3338667022950457,0.8501862794295123,0.9846517616384295,76.20094680786133,"(0, 1, 2)",1.0,11.0
Friedman1_Mod,0,VanillaEBM,1.8839706245126289,1.202802967739645,0.9693816399011939,1.5099759101867676,"(0, 1, 2)",0.0,13.0
Friedman1_Mod,0,XGBoost,1.4704467630485938,0.9921584991028348,0.9813477046333555,0.9927091598510742,"(0, 1, 2)",,
Friedman1_Mod,0,RandomForest,2.7643947052427995,2.1472090464378635,0.9340774834854402,0.37493205070495605,"(0, 1, 2)",,
Friedman1_Mod,1,Scratch3Way,1.484134098421629,0.9563349199475368,0.9817308809622255,81.13095211982727,"(0, 1, 2)",1.0,16.0
Friedman1_Mod,1,Scratch3Way_BIC0.5,1.355685722946567,0.8520760109777007,0.9847563361260445,77.95348787307739,"(0, 1, 2)",1.0,11.0
Friedman1_Mod,1,VanillaEBM,1.7182427831793299,1.0680062138309103,0.9755127296486111,1.4779980182647705,"(0, 1, 2)",0.0,13.0
Friedman1_Mod,1,XGBoost,1.5731706541193726,1.0938617133979254,0.9794731177009225,0.9540097713470459,"(0, 1, 2)",,
Friedman1_Mod,1,RandomForest,2.955389860527644,2.329645375371552,0.9275562576894537,0.37236499786376953,"(0, 1, 2)",,
Friedman1_Mod,2,Scratch3Way,1.094379608296302,0.8161877593528141,0.9893193014054721,80.60557079315186,"(0, 1, 2)",1.0,16.0
Friedman1_Mod,2,Scratch3Way_BIC0.5,1.0263101117123765,0.7693146115525471,0.9906066416465614,63.034318923950195,"(0, 1, 2)",1.0,11.0
Friedman1_Mod,2,VanillaEBM,1.5202345836939462,1.1696449922370105,0.9793896725718073,2.9760329723358154,"(0, 1, 2)",0.0,13.0
Friedman1_Mod,2,XGBoost,1.2954079667250635,0.9748519878292149,0.9850349971986286,0.9710769653320312,"(0, 1, 2)",,
Friedman1_Mod,2,RandomForest,2.8083908544722656,2.208593811317277,0.9296638203946836,0.43080806732177734,"(0, 1, 2)",,
Ishigami_Mod,0,Scratch3Way,5.1239342209072785,3.7937930941842044,0.4032814948267378,22.553678035736084,"(0, 1, 2)",1.0,7.0
Ishigami_Mod,0,Scratch3Way_BIC0.5,4.84818297432006,3.571523460793037,0.46577966077257216,24.19739294052124,"(0, 1, 2)",1.0,7.0
Ishigami_Mod,0,VanillaEBM,5.645400693606161,4.271080632767616,0.2756441712618679,1.6748311519622803,"(0, 1, 2)",0.0,6.0
Ishigami_Mod,0,XGBoost,1.4910939646879782,1.1175962442025216,0.9494673074694322,0.5892899036407471,"(0, 1, 2)",,
Ishigami_Mod,0,RandomForest,2.4681338463936457,1.9269094054425349,0.8615478099019269,0.19306206703186035,"(0, 1, 2)",,
Ishigami_Mod,1,Scratch3Way,5.415679136697114,3.9688744765029935,0.4200243231275482,16.721097946166992,"(0, 1, 2)",1.0,7.0
Ishigami_Mod,1,Scratch3Way_BIC0.5,5.613135384410171,4.1710324028215044,0.3769613866011986,8.084158897399902,"(0, 1, 2)",1.0,7.0
