dataset,seed,model,rmse,mae,r2,fit_time,truth_triplet,found_truth_triplet,n_terms
wine_quality,0,Scratch3Way,0.6493749981001736,0.4961630527129052,0.2650147097354484,4.117793083190918,None,,21.0
wine_quality,0,Scratch3Way_BIC0.5,0.6552214316000841,0.5060689027413822,0.25172073895375147,4.699559926986694,None,,20.8
wine_quality,0,VanillaEBM,0.604544884267581,0.4575795864188346,0.3629923894557927,1.8847527503967285,None,,16.0
wine_quality,0,XGBoost,0.5869702165223576,0.40490001869799574,0.39949082035808114,0.21097779273986816,None,,
wine_quality,0,RandomForest,0.5666809574693171,0.4105224660397074,0.4402878195319875,0.2128770351409912,None,,
wine_quality,1,Scratch3Way,0.6502169328544599,0.504069910816575,0.25843344621617736,3.7846007347106934,None,,21.0
wine_quality,1,Scratch3Way_BIC0.5,0.6475488577335548,0.49760959329745,0.2645067913080206,3.8676810264587402,None,,21.0
wine_quality,1,VanillaEBM,0.6078479441164419,0.46436251732018896,0.35192765698161077,2.8864028453826904,None,,16.0
wine_quality,1,XGBoost,0.5750499430564022,0.3946654579856179,0.41997767042729084,0.19791483879089355,None,,
wine_quality,1,RandomForest,0.5502370218514496,0.3987042842215256,0.4689527069160998,0.20480585098266602,None,,
wine_quality,2,Scratch3Way,0.6353227301978202,0.4934108879021895,0.334592108355636,3.689225912094116,None,,21.0
wine_quality,2,Scratch3Way_BIC0.5,0.6376303645351693,0.4928259648455692,0.3297495088430691,4.084321022033691,None,,21.0
wine_quality,2,VanillaEBM,0.6331315692287001,0.49679815920736825,0.339174036438203,5.343465089797974,None,,16.0
wine_quality,2,XGBoost,0.5802181747832431,0.4100122631156706,0.44501426909305286,0.19039511680603027,None,,
wine_quality,2,RandomForest,0.578715202207837,0.43091954022988505,0.4478857682089167,0.2333970069885254,None,,
abalone,0,Scratch3Way,2.266593510908235,1.6262135418381347,0.525737481005409,6.050513029098511,None,,13.0
abalone,0,Scratch3Way_BIC0.5,2.2475851430651885,1.6167590648015353,0.5336587560276409,6.879027366638184,None,,13.0
abalone,0,VanillaEBM,2.200984681378906,1.5747680908071233,0.5527961215764889,6.037141799926758,None,,10.0
abalone,0,XGBoost,2.171277766687051,1.5549393813767118,0.5647865663602523,0.0887448787689209,None,,
abalone,0,RandomForest,2.1665501175088204,1.5289077564347369,0.5666797340301406,0.27498698234558105,None,,
abalone,1,Scratch3Way,2.229831542901512,1.5979870886873264,0.49256874700360287,6.325556993484497,None,,13.0
abalone,1,Scratch3Way_BIC0.5,2.2457765259458586,1.6131909874055397,0.4852857654027056,7.188967943191528,None,,13.0
abalone,1,VanillaEBM,2.178275378930248,1.570734902790719,0.5157622218363234,3.5692288875579834,None,,10.0
abalone,1,XGBoost,2.16397677569369,1.5269517044821186,0.5220986097597484,0.09110569953918457,None,,
abalone,1,RandomForest,2.146560596188316,1.5218785106596415,0.5297601733382435,0.2611398696899414,None,,
abalone,2,Scratch3Way,2.373184288081121,1.6574725356680324,0.5415018174638146,8.225801944732666,None,,13.0
abalone,2,Scratch3Way_BIC0.5,2.3450835578556672,1.6332654147325552,0.5522956303845092,8.11726999282837,None,,13.0
abalone,2,VanillaEBM,2.2991997321149515,1.605340153084039,0.5696437742176079,3.8702383041381836,None,,10.0
abalone,2,XGBoost,2.296337902314669,1.6066213779106826,0.5707144422070558,0.09509706497192383,None,,
abalone,2,RandomForest,2.2837459891078145,1.5541690803331076,0.5754094881256437,0.27639198303222656,None,,
cpu_act,0,Scratch3Way,2.342994296060729,1.7314172641140508,0.9840805626577517,54.416100025177,None,,31.0
cpu_act,0,Scratch3Way_BIC0.1,2.3166060894793232,1.7037190175068013,0.9844371318351645,52.89549279212952,None,,28.0
cpu_act,0,VanillaEBM,2.804732076813133,1.7695665713623718,0.9771877556867793,16.6594979763031,None,,26.0
cpu_act,0,XGBoost,2.52555651858179,1.5467906191220715,0.9815030792825702,1.3072130680084229,None,,
cpu_act,0,RandomForest,2.469224631779569,1.70484533984534,0.9823190151288348,2.1020359992980957,None,,
cpu_act,1,Scratch3Way,2.382386561012753,1.7572788018118453,0.9849331551717748,67.52198505401611,None,,31.0
cpu_act,1,Scratch3Way_BIC0.1,2.344947528193314,1.7376875278323352,0.9854029830370751,55.12507176399231,None,,28.0
cpu_act,1,VanillaEBM,2.607030277090104,1.8156692691549223,0.9819577787482278,14.513489246368408,None,,26.0
cpu_act,1,XGBoost,2.4829549493298337,1.5059057245343999,0.9836342642705217,1.074638843536377,None,,
cpu_act,1,RandomForest,2.427700314212777,1.6775213675213674,0.9843545520005409,1.9458000659942627,None,,
cpu_act,2,Scratch3Way,2.356787047732867,1.759514989151301,0.983906081935745,61.010340213775635,None,,31.0
cpu_act,2,Scratch3Way_BIC0.1,2.307233513202457,1.730949804776079,0.9845757447657517,59.7762131690979,None,,28.4
cpu_act,2,VanillaEBM,2.7778520708408445,1.939502367413456,0.9776416716676357,15.188724040985107,None,,26.0
cpu_act,2,XGBoost,2.077661553720956,1.4877643105633653,0.9874924943624733,1.1044111251831055,None,,
cpu_act,2,RandomForest,2.366303571520905,1.707163207163207,0.9837758475349424,2.131040096282959,None,,
superconduct,0,Scratch3Way,11.130634321414327,7.254509505399547,0.8935737447899723,136.21121788024902,None,,91.0
superconduct,0,Scratch3Way_BIC0.1,11.307242704336666,7.342921139029248,0.8901696469923235,188.16828894615173,None,,91.0
superconduct,0,VanillaEBM,11.587199649347292,7.851730823156881,0.8846637223056157,53.06160616874695,None,,86.0
superconduct,0,XGBoost,9.380683092145436,5.41630254084379,0.9244076442292329,3.7182199954986572,None,,
