dataset,model,rmse_mean,rmse_std,n_terms_mean
Friedman1_ModNoise10,Scratch3Way_BIC0.5,1.6475595243457806,0.1007923151397803,13.866666666666667
Friedman1_ModNoise10,Scratch3Way_BIC1.0,1.6490025250391132,0.1999316135057058,13.6
Friedman1_ModNoise10,Scratch3Way_BIC0.75,1.6717305297368839,0.19786105399354048,13.199999999999998
Friedman1_ModNoise10,Scratch3Way_BIC0.25,1.7222485780148211,0.12179181702837755,16.400000000000002
Friedman1_ModNoise10,VanillaEBM,1.8452085067309085,0.1320205471945982,25.0
Friedman1_ModNoise10,Scratch3Way_BIC0.1,1.8534700200681844,0.17412682818213088,28.933333333333334
Friedman1_ModNoise10,Scratch3Way,1.919830590576181,0.17938790458777223,30.0
Hartmann6D_ModNoise10,Scratch3Way_BIC0.5,0.5071656269893414,0.008944560269336,12.466666666666667
Hartmann6D_ModNoise10,Scratch3Way_BIC0.75,0.5123312633769236,0.022268493011531436,12.0
Hartmann6D_ModNoise10,Scratch3Way_BIC0.25,0.530750438206718,0.014591651587707397,17.666666666666668
Hartmann6D_ModNoise10,Scratch3Way_BIC1.0,0.5394821028746662,0.03155206571117299,11.666666666666666
Hartmann6D_ModNoise10,Scratch3Way_BIC0.1,0.5630318761231162,0.012248663462492006,25.866666666666664
Hartmann6D_ModNoise10,Scratch3Way,0.5707730466674339,0.025755857914713715,26.0
Hartmann6D_ModNoise10,VanillaEBM,0.6430545337182555,0.04138488494662976,21.0
Ishigami_ModNoise10,VanillaEBM,5.803470700756005,0.09233665736298395,18.0
Ishigami_ModNoise10,Scratch3Way_BIC1.0,6.062511356057503,0.1088349886525862,23.0
Ishigami_ModNoise10,Scratch3Way_BIC0.5,6.073172963243014,0.29494257824463677,23.0
Ishigami_ModNoise10,Scratch3Way_BIC0.25,6.096559460634868,0.14542753258158833,23.0
Ishigami_ModNoise10,Scratch3Way_BIC0.75,6.100594999782896,0.2798121613210288,23.0
Ishigami_ModNoise10,Scratch3Way,6.125766067212685,0.20518369002296355,23.0
Ishigami_ModNoise10,Scratch3Way_BIC0.1,6.136278229864241,0.27084630085887684,23.0
