dataset,model,rmse_mean,rmse_std,mae_mean,r2_mean,fit_time_mean,found_rate,n_terms_mean
Friedman1_Mod,Scratch3Way_BIC0.5,1.2386208456513297,0.18418985646560615,0.82385896731992,0.9866715798036786,72.39625120162964,1.0,11.0
Friedman1_Mod,Scratch3Way,1.3315935179291456,0.20821700253340797,0.8924456917403826,0.9845823616784214,69.44426663716634,1.0,16.0
Friedman1_Mod,XGBoost,1.44634179463101,0.14044149940077078,1.020290733443325,0.9819519398443023,0.9725986321767172,,
Friedman1_Mod,VanillaEBM,1.7074826637953018,0.18210659508782626,1.1468180579358551,0.9747613473738707,1.9880023002624512,0.0,13.0
Friedman1_Mod,RandomForest,2.842725140080903,0.10001959663866922,2.228482744375564,0.9304325205231926,0.3927017052968343,,
Hartmann6D_Mod,XGBoost,0.26336939110521346,0.005568954890069749,0.1836878245207334,0.9926709091256217,0.7446230252583822,,
Hartmann6D_Mod,Scratch3Way,0.4069356918626908,0.0038513544910999393,0.2994957792590241,0.9825008106363823,28.30541197458903,1.0,12.0
Hartmann6D_Mod,Scratch3Way_BIC0.5,0.4121720385166692,0.010454949066142112,0.30344329244268303,0.9820651950265414,21.67337902386983,1.0,9.0
Hartmann6D_Mod,VanillaEBM,0.6158561063750708,0.03016927994024011,0.45790843401562814,0.9595294616737235,0.7652939955393473,0.0,9.0
Hartmann6D_Mod,RandomForest,0.6412376719086436,0.023061261301341014,0.4199322904146434,0.9565172877484494,0.2864387035369873,,
Ishigami_Mod,XGBoost,1.5378999186780282,0.08048660202536694,1.1482512227025252,0.9498498858199174,0.6496478716532389,,
Ishigami_Mod,RandomForest,2.5792041470391496,0.09692463912850038,2.0058344634941374,0.8594190751132359,0.20429205894470215,,
Ishigami_Mod,Scratch3Way,5.176950371007524,0.21713050376232562,3.825218487340288,0.43319429491513506,23.5002916653951,1.0,7.0
Ishigami_Mod,Scratch3Way_BIC0.5,5.337295852048409,0.4247377865325363,3.9597839831485224,0.3983538653921004,13.862269004185995,1.0,7.0
Ishigami_Mod,VanillaEBM,5.752995748723144,0.09756529967933031,4.351258433407225,0.3001342268131221,1.518900712331136,0.0,6.0
