dataset,model,found_rate,n_terms_mean,rmse_mean,rmse_std
Friedman1_Mod,Scratch3Way_BIC0.5,1.0,11.0,1.2386208456513297,0.18418985646560615
Friedman1_Mod,Scratch3Way,1.0,16.0,1.3315935179291456,0.20821700253340797
Friedman1_Mod,XGBoost,,,1.44634179463101,0.14044149940077078
Friedman1_Mod,VanillaEBM,0.0,13.0,1.7074826637953018,0.18210659508782626
Friedman1_Mod,RandomForest,,,2.842725140080903,0.10001959663866922
Hartmann6D_Mod,XGBoost,,,0.26336939110521346,0.005568954890069749
Hartmann6D_Mod,Scratch3Way,1.0,12.0,0.4069356918626908,0.0038513544910999393
Hartmann6D_Mod,Scratch3Way_BIC0.5,1.0,9.0,0.4121720385166692,0.010454949066142112
Hartmann6D_Mod,VanillaEBM,0.0,9.0,0.6158561063750708,0.03016927994024011
Hartmann6D_Mod,RandomForest,,,0.6412376719086436,0.023061261301341014
Ishigami_Mod,XGBoost,,,1.5378999186780282,0.08048660202536694
Ishigami_Mod,RandomForest,,,2.5792041470391496,0.09692463912850038
Ishigami_Mod,Scratch3Way,1.0,7.0,5.176950371007524,0.21713050376232562
Ishigami_Mod,Scratch3Way_BIC0.5,1.0,7.0,5.337295852048409,0.4247377865325363
Ishigami_Mod,VanillaEBM,0.0,6.0,5.752995748723144,0.09756529967933031
