dataset,model,rmse_mean,rmse_std,mae_mean,r2_mean,fit_time_mean,found_rate,n_terms_mean
Friedman1,VanillaEBM,1.1199810076402077,0.05211204666261689,0.9044783755887985,0.9488100668808919,0.8008631070454916,,13.0
Friedman1,Scratch3Way,1.2480251040938357,0.026590149714030217,1.0071002759473453,0.9365540360610818,5.962749242782593,,16.0
Friedman1,XGBoost,1.3744149379796056,0.06281574293581921,1.09894995976126,0.9228185525181893,0.9927269617716471,,
Friedman1,RandomForest,1.919265122702133,0.026660180425525985,1.5344730483803544,0.8500215912108415,0.343294620513916,,
Hartmann6D,XGBoost,0.14869234098346953,0.011636290544057066,0.08558631173288885,0.8685533875663287,0.7534916400909424,,
Hartmann6D,RandomForest,0.21356638208904408,0.012855853668656913,0.12289870287619963,0.7306497709473464,0.24704360961914062,,
Hartmann6D,Scratch3Way,0.26124274783500834,0.005151683782589679,0.18665725058598528,0.5963633518733947,6.855433305104573,,12.0
Hartmann6D,VanillaEBM,0.28079855068040777,0.009860519956313058,0.18802656202387258,0.5325330075903617,0.726702610651652,,9.0
Ishigami,Scratch3Way,0.46050291130364446,0.011451902106923014,0.31193244640284173,0.9851548580369124,45.379093408584595,,7.0
Ishigami,XGBoost,0.4675093946572282,0.02459224522825458,0.30991843429435656,0.9847118701042811,0.6153170267740885,,
Ishigami,VanillaEBM,0.48480947115553974,0.009478762625061083,0.3715148133621351,0.9835157233591129,11.911609729131063,,6.0
Ishigami,RandomForest,1.1155519107045482,0.11604394062036479,0.7987797747359457,0.9131467808816366,0.248522679011027,,
